999	SISTEMA FINANCIERO
416800200	-0049613218405,00	
416800300	-0006765433679,00	
420000000	 0332374229025,00	
422150100	 0004340484166,00	
422150101	 0000000000000,00	
422150102	 0001115434609,00	
422150103	 0000343910192,00	
422150104	 0002881139365,00	
422180100	 0000861403210,00	
422180101	 0000694632984,00	
422180102	 0000166770226,00	
422250100	 0003090330672,00	
422250101	 0002938664486,00	
422250102	 0000151666186,00	
422280100	 0016480618589,00	
422280101	 0000815553575,00	
422280102	 0000105378777,00	
422280103	 0003342977690,00	
422280104	 0009729127218,00	
422280105	 0001930010223,00	
422280190	 0000557571106,00	
422350100	 0113887404678,00	
422350101	 0012476005963,00	
422350102	 0029915167330,00	
422350103	 0037215976522,00	
422350104	 0005744754040,00	
422350105	 0027313776798,00	
422350106	 0000291840442,00	
422350107	 0000000000000,00	
422350108	 0000037454808,00	
422350109	 0000000000000,00	
422350190	 0000892428775,00	
422380100	 0031303107894,00	
422380101	 0011522145564,00	
422380102	 0004798626841,00	
422380103	 0000629678655,00	
422380104	 0008944217506,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000276567106,00	
422380190	 0005131872222,00	
422450100	 0057128119989,00	
422450101	 0008157610443,00	
422450102	 0000045737614,00	
422450103	 0022275603247,00	
422450104	 0004016215421,00	
422450105	 0000762482162,00	
422450106	 0000000000000,00	
422450107	 0014940943572,00	
422450108	 0002077006122,00	
422450190	 0004852521408,00	
422480100	 0006563177203,00	
422480101	 0003086486241,00	
422480102	 0000938713807,00	
422480103	 0001337894025,00	
422480190	 0001200083130,00	
422550100	 0026093997155,00	
422550101	 0002915085868,00	
422550102	 0010296806144,00	
422550103	 0006113166134,00	
422550104	 0006768939009,00	
422580000	 0027476946480,00	
422580100	 0015124032144,00	
422580101	 0010414476366,00	
422580102	 0004709555778,00	
422580200	 0009825543051,00	
422580300	 0000694990576,00	
422580400	 0001832380709,00	
422650100	 0000940981476,00	
422680100	 0000112951243,00	
422750100	 0000017554567,00	
422780100	 0008751508520,00	
422780101	 0000143398552,00	
422780102	 0002715435971,00	
422780103	 0001967870406,00	
422780190	 0003924803591,00	
422850100	 0035325643183,00	
422850101	 0001819191192,00	
422850102	 0000520525959,00	
422850103	 0000391606206,00	
422850104	 0000382589669,00	
422850105	 0000018180618,00	
422850106	 0003066616696,00	
422850190	 0029126932843,00	
425000000	-0108126377454,00	
425150100	-0040418982329,00	
425150101	-0004467410431,00	
425150102	-0020610108296,00	
425150103	-0014175422682,00	
425150104	-0000082458858,00	
425150105	-0000274186226,00	
425150190	-0000809395836,00	
425180100	-0001570919691,00	
425180101	-0001252652983,00	
425180102	-0000246231793,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	-0000072034915,00	
425250100	-0000935636824,00	
425280100	-0016132709285,00	
425280101	 0000000000000,00	
425280102	-0014303409534,00	
425280103	-0001508968645,00	
425280104	-0000200108813,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	-0000120222293,00	
425350100	-0010656732593,00	
425350101	-0005213365698,00	
425350102	-0002484723563,00	
425350103	 0000000000000,00	
425350104	-0000034201244,00	
425350105	-0000589344845,00	
425350106	 0000000000000,00	
425350190	-0002335097243,00	
425380100	-0038411396732,00	
425380101	-0000387961692,00	
425380102	-0000128328965,00	
425380103	-0001069993421,00	
425380104	-0006812379680,00	
425380105	-0005806229083,00	
425380106	-0006955740970,00	
425380190	-0017250762921,00	
431000000	 4243403539646,00	
431150100	 4155271617915,00	
431150101	 15878125618724,00	
431150102	-11722854000809,00	
431180100	 0070127651706,00	
431180101	 0018461676522,00	
431180102	-0014483905515,00	
431180103	 0016948023696,00	
431180104	-0007964056954,00	
431180105	 0052333306230,00	
431180106	 0004832607727,00	
431250000	 0018004270025,00	
431250100	 0004858836392,00	
431250101	 0007275386686,00	
431250102	-0003033873360,00	
431250103	 0000677015783,00	
431250104	-0000059692717,00	
431250200	 0013126174690,00	
431250201	 0013721144230,00	
431250202	 0000000000000,00	
431250203	 0001346813597,00	
431250204	-0001948665837,00	
431250205	 0000006882700,00	
431250300	-0000179569430,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	-0000179569430,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000198828373,00	
431250901	 0000183317341,00	
431250902	-0000015632382,00	
431250903	 0000031143414,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	-4374779878114,00	
431650100	-4374073927730,00	
431650101	 1746642478135,00	
431650102	-6120716405865,00	
431750100	-0000705950384,00	
431750101	 0000006653099,00	
431750102	-0000703166715,00	
431750103	 0000180340486,00	
431750104	-0000156373714,00	
431750105	-0000033403540,00	
431750106	 0000000000000,00	
431800000	 0002251611467,00	
431800100	-0000000278754,00	
431800101	 0000000000000,00	
431800102	-0000000278754,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0002251890221,00	
431800901	 0001909830089,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000342060132,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	-0007017573520,00	
432200000	 0002269181799,00	
432200100	 0000000000000,00	
432200200	-0000000658156,00	
432200300	 0000000000000,00	
432200400	 0002269813395,00	
432200500	 0000000000000,00	
432200600	 0000000026560,00	
432300700	 0000000000000,00	
432400000	-0009579734197,00	
432400100	 0000000000000,00	
432400200	-0009579734197,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0000292978878,00	
432600100	 0000000000000,00	
432600200	 0000235898824,00	
432600300	 0000000000000,00	
432600400	-0000001402322,00	
432600500	 0000051262675,00	
432600600	 0000007219701,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	 0250926212161,00	
433100100	 0889382203715,00	
433100101	 0878700975756,00	
433100102	 0010681227959,00	
433200000	-0036659039466,00	
433210000	-0000276429551,00	
433210100	-0000038048709,00	
433210200	-0000238380842,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	-0000704285712,00	
433240100	-0000704285111,00	
433240200	-0000000000601,00	
433250000	-0029162129525,00	
433250100	-0000510337666,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	-0028651791859,00	
433250410	-0004939892993,00	
433250411	-0004939892993,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0002004624792,00	
433250451	 0001179698699,00	
433250452	 0000824926093,00	
433250460	-0025716523658,00	
433250461	-0009711679970,00	
433250462	-0016004843688,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	 0000000000000,00	
433260000	-0013458719413,00	
433300000	 0007535669985,00	
433300100	 0000000000000,00	
433300200	 0000011522198,00	
433300300	 0000058477232,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	 0007465670555,00	
433310000	-0000593145250,00	
