016	BANCO DE CRÉDITO E INVERSIONES
422780190	 0000000000000,00	
422850100	 0071940304157,00	
422850101	 0001715528495,00	
422850102	 0002779483697,00	
422850103	 0000000000000,00	
422850104	 0000242618888,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0067202673077,00	
425000000	-0141416607367,00	
425150100	-0042708711918,00	
425150101	-0018177578035,00	
425150102	-0023079701328,00	
425150103	-0000802439725,00	
425150104	-0000648992830,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	-0027039407596,00	
425280101	 0000000000000,00	
425280102	-0027039407596,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0042072383403,00	
425350101	-0036965963903,00	
425350102	-0003398362638,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	-0001708056862,00	
425350106	 0000000000000,00	
425350190	 0000000000000,00	
425380100	-0029596104450,00	
425380101	 0000000000000,00	
425380102	-0000421804330,00	
425380103	-0001275103668,00	
425380104	-0001048585279,00	
425380105	 0000000000000,00	
425380106	-0000051787026,00	
425380190	-0026798824147,00	
431000000	 0023774191741,00	
431150100	 0037066650332,00	
431150101	 9569736171964,00	
431150102	-9532669521632,00	
431180100	 0064735664248,00	
431180101	 0065513185654,00	
431180102	-0056675811819,00	
431180103	 0040936351724,00	
431180104	-0074328141904,00	
431180105	 0034828651871,00	
431180106	 0054461428722,00	
431250000	-0078028122839,00	
431250100	 0003654963401,00	
431250101	 0011849127240,00	
431250102	-0008194163839,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	-0081421082790,00	
431250201	 0001192143544,00	
431250202	-0082606959239,00	
431250203	 0000006671305,00	
431250204	-0000012938400,00	
431250205	 0000000000000,00	
431250300	-0000296472290,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000032946137,00	
431250304	-0000329418427,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000034468840,00	
431250901	 0000034468840,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	-0024089769072,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	-0024089769072,00	
431800901	 0000000000000,00	
431800902	-0024089769072,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	 0008399064902,00	
432200000	 0008399064902,00	
432200100	 0000000000000,00	
432200200	 0000000000000,00	
432200300	 0000000000000,00	
432200400	 0003421764936,00	
432200500	 0000000000000,00	
432200600	 0004977299966,00	
432300700	 0000000000000,00	
432400000	 0000000000000,00	
432400100	 0000000000000,00	
432400200	 0000000000000,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0000000000000,00	
432600100	 0000000000000,00	
432600200	 0000000000000,00	
432600300	 0000000000000,00	
432600400	 0000000000000,00	
432600500	 0000000000000,00	
432600600	 0000000000000,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
