012	BANCO DEL ESTADO DE CHILE
416280200	 0000000000000,00	
416280210	 0000000000000,00	
416280211	 0000000000000,00	
416280212	 0000000000000,00	
416280213	 0000000000000,00	
416280220	 0000000000000,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	 0000000000000,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-0529024819032,00	
416350100	-0076051740507,00	
416350101	-0032822237472,00	
416350102	-0043229503035,00	
416350200	-0452973078525,00	
416350201	-0452973078525,00	
416350203	 0000000000000,00	
416380000	-0000047093624,00	
416380100	 0000000000000,00	
416380101	 0000000000000,00	
416380102	 0000000000000,00	
416380200	-0000047093624,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	-0000047093624,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0133267233968,00	
416500100	-0133267233968,00	
416500200	 0000000000000,00	
416800000	 0000000000000,00	
416800100	 0000000000000,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0748051070504,00	
422150100	 0006545332670,00	
422150101	 0000000000000,00	
422150102	 0002264225670,00	
422150103	 0001305094509,00	
422150104	 0002976012491,00	
422180100	 0008350277196,00	
422180101	 0006779831528,00	
422180102	 0001570445668,00	
422250100	 0002299836530,00	
422250101	 0002299836530,00	
422250102	 0000000000000,00	
422280100	 0016872747434,00	
422280101	 0001655039221,00	
422280102	 0000005528007,00	
422280103	 0000000000000,00	
422280104	 0012066770216,00	
422280105	 0000000000000,00	
422280190	 0003145409990,00	
422350100	 0202860687398,00	
422350101	 0011126662972,00	
422350102	 0014969850019,00	
422350103	 0017246694545,00	
422350104	 0015425856195,00	
422350105	 0144091623667,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0114394700181,00	
422380101	 0003097137092,00	
422380102	 0002451675020,00	
422380103	 0005286875340,00	
422380104	 0088743881050,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0002186489063,00	
422380190	 0012628642616,00	
422450100	 0257534164067,00	
422450101	 0022801132576,00	
422450102	 0000000000000,00	
422450103	 0127182994734,00	
422450104	 0016486821525,00	
422450105	 0001373044691,00	
422450106	 0000000000000,00	
422450107	 0048897735427,00	
422450108	 0004874400889,00	
422450190	 0035918034225,00	
422480100	 0025300350883,00	
422480101	 0001071573855,00	
422480102	 0000975637293,00	
422480103	 0000150904627,00	
422480190	 0023102235108,00	
422550100	 0025419449743,00	
422550101	 0000000000000,00	
422550102	 0000000000000,00	
422550103	 0000000000000,00	
422550104	 0025419449743,00	
422580000	 0044098323192,00	
422580100	 0025688879846,00	
422580101	 0012279669643,00	
422580102	 0013409210203,00	
422580200	 0017068032951,00	
422580300	 0000424078674,00	
422580400	 0000917331721,00	
422650100	 0001267054237,00	
422680100	 0000000000000,00	
422750100	 0000000000000,00	
422780100	 0000231598354,00	
422780101	 0000000000000,00	
422780102	 0000000000000,00	
422780103	 0000000000000,00	
422780190	 0000231598354,00	
422850100	 0042876548619,00	
422850101	 0002436061819,00	
422850102	 0001309256010,00	
422850103	 0000488390061,00	
422850104	 0000015267944,00	
422850105	 0000000000000,00	
422850106	 0015813888683,00	
422850190	 0022813684102,00	
425000000	-0301702021127,00	
425150100	-0081409363582,00	
425150101	 0000000000000,00	
425150102	-0019606443892,00	
425150103	-0061802919690,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
