016	BANCO DE CRÉDITO E INVERSIONES
857200700	 0003033285214,00	
857200800	 0005200409003,00	
857200900	 0004043613543,00	
857201000	 0020938766480,00	
857201100	 0010860816898,00	
857201200	 0008126874733,00	
857300000	 0108155500052,00	
857300100	 0000077343025,00	
857300200	 0019595398011,00	
857300300	 0000000000000,00	
857300400	 0087786173717,00	
857300500	 0000000000000,00	
857300600	 0000696585299,00	
857400000	 0115599857458,00	
857400100	 0038449127184,00	
857400200	 0003137908491,00	
857400300	 0074012455296,00	
857400400	 0000000000000,00	
857400500	 0000000366487,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
