014	SCOTIABANK CHILE
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0458159630012,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0240403131623,00	
857200100	 0139672023691,00	
857200101	 0139546800629,00	
857200102	 0000000000000,00	
857200103	 0000125223062,00	
857200104	 0000000000000,00	
857200600	 0007645301726,00	
857200700	 0002754766630,00	
857200800	 0000000000000,00	
857200900	 0001121612914,00	
857201000	 0007550012101,00	
857201100	 0081560321694,00	
857201200	 0000099092867,00	
857300000	 0136500239410,00	
857300100	 0003424871778,00	
857300200	 0001023358028,00	
857300300	 0000000000000,00	
857300400	 0127559128625,00	
857300500	 0003502864342,00	
857300600	 0000990016637,00	
857400000	 0081256258979,00	
857400100	 0029791096287,00	
857400200	 0001315599385,00	
857400300	 0050149563307,00	
857400400	 0000000000000,00	
857400500	 0000000000000,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
