028	BANCO BICE
433250600	 0000000000000,00	
433260000	 0000000000000,00	
433300000	-0001255816969,00	
433300100	 0000000000000,00	
433300200	 0000006011438,00	
433300300	 0000000000000,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	-0001261828407,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	 0000000000000,00	
433500101	 0000000000000,00	
433500102	 0000000000000,00	
433500103	 0000000000000,00	
433500104	 0000000000000,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000000000000,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0000000000000,00	
435300100	 0000000000000,00	
435300200	 0000000000000,00	
435400000	 0000000000000,00	
435400100	 0000000000000,00	
435400101	 0000000000000,00	
435400102	 0000000000000,00	
435400103	 0000000000000,00	
440000000	 0000010299592,00	
442000100	 0000010299592,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0000000000000,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000010299592,00	
442000109	 0000000000000,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	-0000618477851,00	
451000000	-0000912929072,00	
451000100	-0000161869159,00	
451000101	-0000161869159,00	
451000102	 0000000000000,00	
451000200	 0000000000000,00	
451000300	 0000000000000,00	
451000400	-0000640666669,00	
451000500	-0000110393244,00	
452000100	 0000294451221,00	
452000101	 0000000000000,00	
452000102	 0000000000000,00	
452000103	 0000281111683,00	
452000104	 0000013339538,00	
452000109	 0000000000000,00	
452000200	 0000000000000,00	
455000000	 0007900412948,00	
455000100	 0000000000000,00	
455000200	 0000000000000,00	
455000300	 0001799088850,00	
455000400	 0000000000000,00	
455000500	 0000011566984,00	
455000600	 0003126038256,00	
455000900	 0002963718858,00	
462000000	-0094605390251,00	
462100100	-0089441863029,00	
462100101	-0044209321687,00	
462100102	-0013789609999,00	
462100103	-0019987515030,00	
462100190	-0011455416313,00	
462200100	 0000000000000,00	
462300100	 0000000000000,00	
462300101	 0000000000000,00	
462300102	 0000000000000,00	
462300190	 0000000000000,00	
462400100	-0002716897448,00	
462400101	-0002716897448,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	 0000000000000,00	
462800100	 0000000000000,00	
462900100	-0002446629774,00	
462900101	-0000496527151,00	
462900102	-0000156327046,00	
462900190	-0001793775577,00	
464000000	-0046547428563,00	
464100100	-0028758013910,00	
464100101	-0001040013058,00	
464100102	-0000861964057,00	
