049	BANCO SECURITY
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0001489867874,00	
422450108	 0000125124614,00	
422450190	 0001781329679,00	
422480100	 0008700387377,00	
422480101	 0002281245244,00	
422480102	 0000631792133,00	
422480103	 0005109795280,00	
422480190	 0000677554720,00	
422550100	 0026247126835,00	
422550101	 0026222876250,00	
422550102	 0000024250585,00	
422550103	 0000000000000,00	
422550104	 0000000000000,00	
422580000	 0000000000000,00	
422580100	 0000000000000,00	
422580101	 0000000000000,00	
422580102	 0000000000000,00	
422580200	 0000000000000,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000000000000,00	
422680100	 0000000000000,00	
422750100	 0000000000000,00	
422780100	 0009457225826,00	
422780101	 0000000000000,00	
422780102	 0000000000000,00	
422780103	 0000000000000,00	
422780190	 0009457225826,00	
422850100	 0000816579167,00	
422850101	 0000000000000,00	
422850102	 0000000000000,00	
422850103	 0000000000000,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0000816579167,00	
425000000	-0009024086438,00	
425150100	-0000038656805,00	
425150101	 0000000000000,00	
425150102	-0000035839659,00	
425150103	-0000002817146,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	-0003733475333,00	
425180101	-0003733475333,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0002670221533,00	
425350101	 0000000000000,00	
425350102	-0002550516391,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000119705142,00	
425380100	-0002581732767,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000044575077,00	
425380104	 0000000000000,00	
425380105	-0001882256867,00	
425380106	 0000000000000,00	
425380190	-0000654900823,00	
431000000	 0000217777368,00	
431150100	 0016868325848,00	
431150101	 0638931539494,00	
431150102	-0622063213646,00	
431180100	 0007826946238,00	
431180101	 0000000000000,00	
431180102	-0000031456092,00	
431180103	 0003401587360,00	
431180104	-0002467979173,00	
431180105	 0006900734552,00	
