039	ITAÚ CORPBANCA
425280101	 0000000000000,00	
425280102	-0022188272086,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0005458392947,00	
425350101	-0001089260133,00	
425350102	-0004156813785,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000212319029,00	
425380100	-0011063727378,00	
425380101	-0000031552111,00	
425380102	-0000040804420,00	
425380103	-0003796058733,00	
425380104	 0000000000000,00	
425380105	-0001029749705,00	
425380106	 0000000000000,00	
425380190	-0006165562409,00	
431000000	 0218194346774,00	
431150100	 0205827823206,00	
431150101	 6430145007085,00	
431150102	-6224317183879,00	
431180100	 0006929389689,00	
431180101	 0077383057745,00	
431180102	-0106506308935,00	
431180103	 0012018795914,00	
431180104	-0014569699382,00	
431180105	 0037619366450,00	
431180106	 0000984177897,00	
431250000	 0005437133879,00	
431250100	 0005437133879,00	
431250101	 0005437133879,00	
431250102	 0000000000000,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	 0000000000000,00	
431250201	 0000000000000,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000000000000,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	-0000917844949,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
