039	BANCO ITAÚ CHILE
422250100	 0003646701467,00	
422250101	 0003578968035,00	
422250102	 0000067733432,00	
422280100	 0022190229332,00	
422280101	 0002281374648,00	
422280102	 0000000000000,00	
422280103	 0003676646680,00	
422280104	 0016232208004,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0069099264458,00	
422350101	 0002786422512,00	
422350102	 0021869383202,00	
422350103	 0040784220014,00	
422350104	 0003249840026,00	
422350105	 0000407760308,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000001638396,00	
422380100	 0011633401307,00	
422380101	 0009816272365,00	
422380102	 0000907116300,00	
422380103	 0000404586462,00	
422380104	 0000455845410,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000049580770,00	
422380190	 0000000000000,00	
422450100	 0035207684997,00	
422450101	 0009994328062,00	
422450102	 0000090487735,00	
422450103	 0010539363842,00	
422450104	 0001614492146,00	
422450105	 0003394239971,00	
422450106	 0000000000000,00	
422450107	 0008079109443,00	
422450108	 0001421249747,00	
422450190	 0000074414051,00	
422480100	 0003573493458,00	
422480101	 0002914612305,00	
422480102	 0000293360449,00	
422480103	 0000202213115,00	
422480190	 0000163307589,00	
422550100	 0012490836737,00	
422550101	 0000557000468,00	
422550102	 0000000000000,00	
422550103	 0000061104448,00	
422550104	 0011872731821,00	
422580000	 0032296619877,00	
422580100	 0032296619877,00	
422580101	 0032296619877,00	
422580102	 0000000000000,00	
422580200	 0000000000000,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000465658300,00	
422680100	 0000025125156,00	
422750100	 0000028663674,00	
422780100	 0006862456939,00	
422780101	 0000528592688,00	
422780102	 0003629450755,00	
422780103	 0000000000000,00	
422780190	 0002704413496,00	
422850100	 0078019820794,00	
422850101	 0002923074615,00	
422850102	 0000047028483,00	
422850103	 0000619645953,00	
422850104	 0000000000000,00	
422850105	 0000132840229,00	
422850106	 0004225188148,00	
422850190	 0070072043366,00	
425000000	-0073244453412,00	
425150100	-0038710447509,00	
425150101	-0002215466482,00	
425150102	-0031005545998,00	
425150103	-0005489435029,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	-0001731506844,00	
425180101	-0001727893420,00	
425180102	-0000003613424,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	-0019601556351,00	
425280101	 0000000000000,00	
425280102	-0019601556351,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0004571052445,00	
425350101	-0001036785937,00	
425350102	-0003336765460,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000197501048,00	
425380100	-0008629890263,00	
425380101	-0000026759367,00	
425380102	-0000062999637,00	
425380103	-0002534340483,00	
425380104	 0000000000000,00	
425380105	-0000822037175,00	
425380106	 0000000000000,00	
425380190	-0005183753601,00	
431000000	 0025364034246,00	
431150100	-0017061277019,00	
431150101	 6754840778592,00	
431150102	-6771902055611,00	
431180100	 0036843724724,00	
431180101	 0073448951313,00	
431180102	-0054750988859,00	
431180103	 0018246758138,00	
431180104	-0024557854830,00	
431180105	 0020974880323,00	
431180106	 0003481978639,00	
431250000	 0005581586541,00	
431250100	 0005124780985,00	
431250101	 0005124780985,00	
431250102	 0000000000000,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	 0000000000000,00	
431250201	 0000000000000,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000000000000,00	
431250300	 0000456805556,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000456805556,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	-0021117175552,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	-0021117175552,00	
431800901	 0000000000000,00	
431800902	-0024069377274,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0002952201722,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
