039	ITAÚ CORPBANCA
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	-0000000650970,00	
435300100	-0000000650970,00	
435300200	 0000000000000,00	
435400000	 0002383437298,00	
435400100	 0002383437298,00	
435400101	 0004671893364,00	
435400102	-0002288456066,00	
435400103	 0000000000000,00	
440000000	 0003083223143,00	
442000100	 0003083223143,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0001311834346,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000356068278,00	
442000109	 0001415320519,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	-0000658044003,00	
451000000	 0001639718260,00	
451000100	 0003081465056,00	
451000101	 0000000000000,00	
451000102	 0003081465056,00	
451000200	 0003935410669,00	
451000300	-0002889945219,00	
451000400	-0001804514578,00	
451000500	-0000682697668,00	
452000100	-0002297762263,00	
452000101	 0000016819265,00	
452000102	 0000000000000,00	
452000103	-0000033153034,00	
452000104	-0002649524512,00	
452000109	 0000368096018,00	
452000200	 0000000000000,00	
455000000	 0020389017883,00	
455000100	 0000000000000,00	
455000200	 0000000000000,00	
455000300	 0003831000000,00	
455000400	 0000000000000,00	
455000500	 0000000000000,00	
455000600	 0009246940414,00	
455000900	 0007311077469,00	
462000000	-0242089728252,00	
462100100	-0205949714404,00	
462100101	-0140519478819,00	
462100102	-0043327582821,00	
462100103	-0021106804725,00	
462100190	-0000995848039,00	
462200100	 0000000000000,00	
462300100	-0000968755624,00	
462300101	-0000843755623,00	
462300102	-0000125000001,00	
462300190	 0000000000000,00	
462400100	-0019129605488,00	
462400101	-0019129605488,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	-0001444641776,00	
462800100	 0000000000000,00	
462900100	-0014597010960,00	
462900101	-0001517565020,00	
462900102	-0000442908930,00	
462900190	-0012636537010,00	
464000000	-0211625713789,00	
464100100	-0146288936544,00	
464100101	-0001485291370,00	
464100102	 0000000000000,00	
464100103	-0000173804549,00	
464100104	-0022933227896,00	
464100105	-0014488016008,00	
464100106	-0001198417121,00	
464100107	-0033545956762,00	
464100108	-0002173931879,00	
464100109	-0004286838719,00	
464100110	-0001131132725,00	
464100111	-0014353326200,00	
464100112	-0001026756668,00	
464100113	 0000000000000,00	
464100114	-0000051096672,00	
464100115	 0000000000000,00	
464100116	-0017391126602,00	
464100117	-0000004374266,00	
464100118	-0000233508433,00	
464100190	-0031812130674,00	
464200100	-0024820743827,00	
464200101	-0008921014678,00	
464200102	 0000000000000,00	
464200103	 0000000000000,00	
464200104	-0000086530401,00	
464200105	-0000274740698,00	
464200106	-0001189234626,00	
464200107	 0000000000000,00	
464200108	-0000469336827,00	
464200109	-0000060396450,00	
464200110	 0000000000000,00	
464200190	-0013819490147,00	
464300100	-0000977242715,00	
464300101	-0000977242715,00	
464300102	 0000000000000,00	
464400100	-0009849607006,00	
464500100	-0029689183697,00	
464500101	-0000229120256,00	
464500102	-0001119352502,00	
464500103	-0021047016511,00	
464500104	-0007293694428,00	
464500190	 0000000000000,00	
466000000	-0070170095444,00	
466100000	-0040179914636,00	
466100100	-0016338930646,00	
466100101	-0002045291395,00	
466100102	 0000000000000,00	
466100103	-0010465864254,00	
466100104	-0003827774997,00	
