014	SCOTIABANK CHILE
464200104	 0000000000000,00	
464200105	-0002020931336,00	
464200106	-0008050594883,00	
464200107	-0001122486614,00	
464200108	-0001889791828,00	
464200109	 0000000000000,00	
464200110	 0000000000000,00	
464200190	-0020479718996,00	
464300100	-0000464972245,00	
464300101	-0000464972245,00	
464300102	 0000000000000,00	
464400100	-0009497015927,00	
464500100	-0009260147096,00	
464500101	-0000656513806,00	
464500102	-0001557626186,00	
464500103	-0000201350951,00	
464500104	-0006844656153,00	
464500190	 0000000000000,00	
466000000	-0038699983991,00	
466100000	-0022842942842,00	
466100100	-0005383211330,00	
466100101	 0000000000000,00	
466100102	-0005383211330,00	
466100103	 0000000000000,00	
466100104	 0000000000000,00	
466100105	 0000000000000,00	
466100106	 0000000000000,00	
